col_a,row_a,col_b,row_b
520,7,254,13
431,9,167,16
497,10,234,16
736,10,439,14
413,11,147,19
716,11,419,15
530,11,263,18
742,13,445,16
343,15,66,23
453,15,190,22
739,16,442,20
421,17,154,24
404,17,137,24
411,17,144,25
342,18,65,27
382,19,114,27
427,23,161,30
318,24,37,33
442,25,177,32
321,25,40,34
364,26,91,35
467,27,202,34
445,27,180,35
460,29,195,35
400,31,132,39
717,33,415,37
729,33,426,37
496,34,228,41
329,35,48,44
401,35,133,43
738,37,437,40
332,39,51,48
379,40,107,48
400,40,131,48
728,42,425,45
327,43,45,52
449,44,181,51
453,45,185,52
496,45,227,52
445,47,177,54
302,48,19,58
488,48,219,55
427,50,158,57
316,52,33,61
409,52,139,60
415,52,145,60
727,52,422,56
394,53,123,61
314,53,30,62
297,54,14,63
313,56,28,65
393,57,122,65
417,57,146,65
718,58,411,61
483,59,212,65
723,59,416,62
417,59,147,67
728,60,422,63
295,60,11,69
713,60,406,64
314,61,30,70
398,61,127,69
402,63,131,70
316,64,32,73
689,67,378,70
436,69,163,77
711,70,403,73
367,72,92,80
415,72,142,79
427,72,154,79
708,73,399,76
689,75,377,79
730,76,423,80
738,76,431,79
342,78,63,87
723,78,415,82
334,79,53,88
656,81,345,85
723,81,414,85
322,82,38,91
689,83,376,87
732,85,424,88
448,85,172,92
690,85,377,89
332,87,51,96
396,88,121,96
360,88,82,96
364,89,86,97
661,89,349,93
721,88,411,92
307,89,23,98
415,90,141,97
416,90,142,98
677,90,363,94
682,91,368,95
374,92,96,100
394,92,118,100
297,92,13,102
719,95,408,98
416,95,141,103
674,95,360,99
311,96,27,105
709,97,397,101
426,98,150,106
720,101,409,104
711,101,399,104
717,104,405,107
385,105,108,113
381,106,104,114
368,108,91,116
716,109,404,112
372,110,95,119
538,112,239,118
705,112,392,116
347,116,68,124
339,119,59,127
399,120,121,128
732,122,421,126
722,130,408,133
431,130,150,138
733,131,421,134
683,134,364,138
689,135,371,139
733,137,420,141
728,141,415,144
688,143,369,147
737,148,425,151
656,148,335,151
667,148,346,152
724,150,409,153
724,159,408,162
682,163,359,167
673,163,350,168
709,177,389,180
688,177,364,181
665,177,339,181
683,180,358,184
688,184,363,188
337,185,52,194
311,186,23,195
684,191,357,195
312,193,23,202
687,195,361,199
304,195,14,204
300,199,10,207
304,199,14,208
670,203,340,208
686,205,359,209
349,206,63,214
331,208,42,216
323,211,34,219
642,211,310,216
646,215,314,220
697,216,370,220
684,219,356,223
634,220,303,225
346,220,58,229
341,222,52,231
348,224,59,233
628,224,297,229
625,228,294,233
713,234,389,238
362,236,71,244
330,245,38,254
341,246,49,255
323,251,30,260
598,252,272,257
594,256,269,262
580,256,256,262
402,263,102,270
407,263,106,271
371,266,74,274
375,266,78,274
401,268,100,276
322,274,27,282
331,277,36,286
417,283,112,291
559,283,231,289
431,298,120,305
448,303,134,310
438,305,126,312
649,307,349,313
439,311,127,318
447,317,135,324
731,319,440,323
743,326,455,331
629,327,335,333
740,330,453,334
742,333,454,337
366,337,71,345
381,337,85,345
467,348,163,355
358,349,67,357
507,357,203,364
495,361,193,368
692,361,413,366
504,362,202,369
489,369,189,375
355,369,68,377
361,371,75,379
359,373,72,381
383,375,94,383
406,381,113,389
713,391,440,395
639,393,363,399
641,398,365,404
707,400,438,405
471,402,182,409
453,404,166,411
705,404,436,409
395,414,107,421
325,417,53,425
627,416,354,422
337,417,64,425
592,417,324,423
334,420,61,428
715,421,446,426
371,422,90,430
398,423,111,431
713,431,444,436
597,431,332,438
720,432,450,437
696,450,431,456
622,460,369,466
369,462,91,470
680,469,420,474
638,485,391,491
259,488,22,496
631,489,386,495
630,492,385,498
612,509,372,516
493,519,250,526
246,522,17,530
454,523,207,530
257,524,27,532
239,529,12,537
257,532,28,540
524,537,288,545
519,539,284,546
269,543,40,552
263,545,35,553
243,560,19,568
565,560,338,567
547,568,322,575
548,573,324,581
577,576,353,583
573,577,350,584
272,581,46,589
230,587,10,595
303,591,71,600
729,593,508,600
307,598,75,607
534,599,318,606
450,602,211,610
604,606,393,613
315,608,84,616
300,608,70,616
527,611,313,618
531,612,318,619
561,624,354,631
499,630,277,637
556,631,349,638
548,632,341,640
607,632,403,640
497,633,274,641
490,641,265,649
552,643,348,651
638,649,433,656
540,650,335,657
592,650,394,658
720,651,526,657
486,653,258,661
557,655,357,662
490,657,262,665
591,658,394,666
501,666,273,673
703,667,514,673
708,670,519,677
573,672,378,680
580,673,386,680
726,675,533,682
556,675,358,683
692,677,505,684
709,680,520,687
681,681,495,689
594,681,402,689
586,682,394,690
485,687,256,694
689,690,505,697
663,692,480,699
252,693,27,701
572,699,381,706
565,700,373,707
568,702,377,710
576,703,387,711
587,703,399,710
599,703,413,711
479,704,247,712
592,706,406,713
597,707,412,714
671,707,491,714
601,707,416,715
666,708,486,715
674,715,495,723
601,716,418,724
608,716,425,724
591,717,407,725
673,719,495,726
285,721,44,729
581,720,396,728
588,725,405,732
606,724,425,732
603,727,423,734
590,728,407,736
608,729,429,737
533,730,316,738
598,731,417,738
288,732,45,740
290,734,47,743
487,734,253,742
600,734,420,742
662,734,487,742
620,739,443,746
604,748,427,755
616,754,441,761
614,757,440,765
636,759,465,767
308,764,59,773
645,764,475,771
624,768,453,776
678,780,513,788
630,803,466,812
647,805,484,813
617,808,450,816
646,815,485,824
643,818,483,826
643,822,483,830
578,825,398,833
571,830,389,839
667,832,511,840
685,836,532,845
690,837,537,845
669,840,515,848
711,840,562,848
676,843,523,851
705,846,556,854
678,847,526,855
681,851,529,859
673,851,520,859
682,853,531,861
665,854,512,862
680,854,529,862
697,854,548,862
672,856,520,865
696,857,547,865
678,857,527,865
650,858,496,867
243,859,10,869
689,862,540,870
647,864,494,872
658,863,506,871
686,865,537,873
667,867,516,875
726,867,581,875
682,869,533,878
695,870,548,878
297,870,85,880
669,872,519,880
720,872,575,880
720,875,575,883
724,876,580,885
745,877,603,885
709,877,564,885
714,879,569,887
708,885,563,893
666,885,518,893
716,896,574,905
619,927,472,936
626,929,480,937
339,929,151,939
231,930,22,940
340,934,153,943
248,936,45,946
656,940,515,949
350,943,166,953
233,944,27,954
518,946,358,956
661,952,521,960
241,954,37,964
494,954,333,964
498,954,337,964
364,956,183,966
239,956,34,966
476,957,313,967
462,959,297,969
469,961,306,971
395,964,221,974
567,964,415,974
363,968,183,978
397,968,223,978
394,970,220,980
366,970,187,980
382,970,206,980
405,973,234,983
744,973,611,982
392,973,218,984
359,976,178,986
438,977,272,987
307,978,118,988
354,978,173,989
453,979,289,988
447,979,282,989
299,981,108,991
437,980,271,990
459,981,296,991
457,983,294,993
449,984,285,994
510,985,354,995
425,17,159,24
461,20,198,27
409,26,141,34
348,27,70,36
730,27,429,31
737,27,437,30
315,31,33,40
411,34,143,42
462,34,196,41
434,36,167,44
404,41,135,49
421,41,152,49
426,42,157,49
400,47,130,54
430,51,161,58
396,54,126,62
426,58,156,65
431,67,160,74
694,67,383,71
378,78,101,86
698,80,386,84
371,81,94,89
447,81,171,88
402,85,128,92
379,91,101,98
388,91,113,99
686,92,372,96
706,94,394,98
365,96,87,104
361,101,83,109
606,102,301,106
316,105,32,113
722,106,411,110
366,109,88,117
414,109,137,117
663,111,348,115
702,117,386,120
727,119,416,122
707,120,392,123
385,122,107,130
394,124,116,132
702,125,386,128
717,131,403,134
421,132,141,139
692,132,375,136
702,132,385,135
521,135,223,140
320,141,38,149
430,144,148,150
693,145,374,149
483,158,190,165
694,163,372,167
680,169,356,173
430,179,144,187
319,183,32,191
506,185,206,191
660,187,331,191
402,194,117,202
346,195,62,203
320,196,32,204
339,196,53,204
392,204,106,211
362,206,76,214
642,217,311,221
353,225,64,233
686,226,359,231
329,233,39,241
332,237,41,245
349,238,58,246
333,247,41,255
327,250,34,258
336,269,41,277
325,271,31,279
369,275,71,283
685,291,384,295
435,349,130,356
634,376,352,382
399,389,108,397
406,393,115,400
449,393,159,400
346,395,67,403
454,397,165,404
343,410,67,418
354,413,77,421
347,415,71,423
681,423,417,428
690,424,425,429
698,444,433,450
629,495,384,502
622,504,380,510
278,548,49,557
259,559,34,568
240,567,17,575
542,568,318,575
246,568,23,577
263,570,38,578
534,588,316,596
261,601,37,610
545,640,339,647
723,640,527,647
730,642,534,649
724,654,530,661
714,655,522,661
591,673,398,680
577,689,386,697
680,695,497,702
685,703,504,710
664,722,488,729
607,735,428,743
596,738,416,746
661,739,487,747
604,742,426,750
611,743,434,750
423,745,166,754
629,746,455,754
608,747,432,755
617,749,442,757
623,755,450,763
634,769,464,776
673,777,508,785
673,784,510,792
585,806,410,816
650,815,490,823
691,817,535,825
655,823,496,831
560,837,376,846
568,837,385,847
726,840,578,847
678,841,525,849
